;Hits;Percentage;Max_TPM;;;
/servlets/2452328105705Dispatch/50/jspforward?xxx;162654;45.585733543716664;217;;;
"/""";34554;9.684172764700442;24;;;
/servlets/2452328105705Dispatch/38/jspforward?xxx;27524;7.713930982682611;67;;;
/hostshops/247/type_c/sites/wwwmyjukecom/public/device_strings/ios/languages.json;15109;4.234478390399345;30;;;
/servlets/2452328105705Dispatch/35/jspforward?xxx;13521;3.7894223520146633;37;;;
/servlets/2452328105705Dispatch/3/jspforward?xxx;12586;3.527377392386403;24;;;
/servlets/2452685121527Dispatch/34/jspforward?xxx;11871;3.326990070317733;21;;;
/servlets/2452328105705Dispatch/41/jspforward?xxx;4294;1.2034449803676477;19;;;
/servlets/2452685121527Dispatch/35/jspforward?xxx;3436;0.9629801938852439;12;;;
/servlets/OMDSDispatch/0/Call?xxx;3130;0.8772200252796314;7;;;
/servlets/2452328105705Dispatch/49/jspforward?xxx;2504;0.7017760202237051;11;;;
/servlets/2452328105705Dispatch/40/jspforward?xxx;1980;0.5549187380363163;20;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/autocomplete.css;707;0.19814522615741195;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/tfs-v1.0.0.js;694;0.19450182030161794;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/jq.tooltip.js;692;0.1939412963238035;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/js/swfobject.js;684;0.19169920041254565;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/jquery-ui-1.8.7.custom.css;662;0.18553343665658656;6;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/tfs-shop-functionhooks-1.0.0.css;660;0.1849729126787721;5;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/ui.stars.css;658;0.18441238870095766;6;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/jquery.fancybox.css;652;0.1827308167675143;4;;;
/hostshops/247/type_c/sites/dlmediade2453802144303/public/css/tfs-patches-1.0.0.css;647;0.1813295068229781;6;;;
